,product_id,product_name,category_path,price
262,1263,Medieval 2 Total War (PC),Gry i konsole;Gry komputerowe,34.99
263,1264,GunMetal (PC),Gry i konsole;Gry komputerowe,11.9
264,1265,King&#39;s Bounty Legenda (PC),Gry i konsole;Gry komputerowe,26.99
265,1266,LA Noire (PC),Gry i konsole;Gry komputerowe,47.9
266,1267,Star Wars Knights of the Old Republic 2 (PC),Gry i konsole;Gry komputerowe,23.9
267,1268,S.T.A.L.K.E.R. Cień Czarnobyla (PC),Gry i konsole;Gry komputerowe,25.9
268,1269,Space Hack (PC),Gry i konsole;Gry komputerowe,19.99
269,1270,Warhammer 40.000 Space Marine (PC),Gry i konsole;Gry komputerowe,7.9
270,1271,Watch Dogs (PC),Gry i konsole;Gry komputerowe,189.0
271,1272,The Ball (PC),Gry i konsole;Gry komputerowe,1.0
272,1273,The Lost Crown (PC),Gry i konsole;Gry komputerowe,29.9
273,1274,The Sims 3 Zwierzaki (PC),Gry i konsole;Gry komputerowe,27.9
274,1275,Rome Total War (PC),Gry i konsole;Gry komputerowe,54.9
275,1276,Apple iPad mini 64GB,Komputery;Tablety i akcesoria;Tablety,1816.97
276,1277,Apple iPad mini 64GB 4G,Komputery;Tablety i akcesoria;Tablety,2317.02
277,1278,Intenso Music Walker 8GB,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4,78.9
278,1279,Assassin&#39;s Creed 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,49.99
279,1280,Kinectimals Now with Bears (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,89.0
280,1281,Manta MM266,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4,64.8
281,1282,Kinect Sports Sezon 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,89.99
282,1283,Okulary 3D PHILIPS PTA436/00,Sprzęt RTV;Video;Telewizory i akcesoria;Okulary 3D,99.99
283,1284,Opticum AX-900,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,49.9
